TRAFFIC_INDEX_DATE,MINIMUM_TRAFFIC_INDEX,MAXIMUM_TRAFFIC_INDEX,AVERAGE_TRAFFIC_INDEX
2020-04-01 00:00:00 +0000 UTC,4,20,11
2020-04-02 00:00:00 +0000 UTC,4,255,15
2020-04-03 00:00:00 +0000 UTC,2,255,11
2020-04-04 00:00:00 +0000 UTC,1,255,8
2020-04-05 00:00:00 +0000 UTC,6,255,11
2020-04-06 00:00:00 +0000 UTC,4,255,12
2020-04-07 00:00:00 +0000 UTC,4,17,10
2020-04-08 00:00:00 +0000 UTC,2,255,10
2020-04-09 00:00:00 +0000 UTC,2,17,8
2020-04-10 00:00:00 +0000 UTC,1,255,10
2020-04-11 00:00:00 +0000 UTC,1,255,9
2020-04-12 00:00:00 +0000 UTC,1,255,11
2020-04-13 00:00:00 +0000 UTC,1,255,10
2020-04-14 00:00:00 +0000 UTC,2,255,10
2020-04-15 00:00:00 +0000 UTC,6,255,16
2020-04-16 00:00:00 +0000 UTC,4,255,14
2020-04-17 00:00:00 +0000 UTC,1,24,12
2020-04-18 00:00:00 +0000 UTC,1,15,7
2020-04-19 00:00:00 +0000 UTC,1,13,6
2020-04-20 00:00:00 +0000 UTC,1,255,11
2020-04-21 00:00:00 +0000 UTC,2,255,17
2020-04-22 00:00:00 +0000 UTC,1,255,14
2020-04-23 00:00:00 +0000 UTC,1,255,9
2020-04-24 00:00:00 +0000 UTC,1,17,7
2020-04-25 00:00:00 +0000 UTC,1,255,7
2020-04-26 00:00:00 +0000 UTC,1,13,6
2020-04-27 00:00:00 +0000 UTC,1,255,13
2020-04-28 00:00:00 +0000 UTC,1,255,13
2020-04-29 00:00:00 +0000 UTC,1,255,15
2020-04-30 00:00:00 +0000 UTC,1,255,15
2020-05-01 00:00:00 +0000 UTC,1,255,7
2020-05-02 00:00:00 +0000 UTC,1,18,7
2020-05-03 00:00:00 +0000 UTC,1,255,10
2020-05-04 00:00:00 +0000 UTC,6,255,27
2020-05-05 00:00:00 +0000 UTC,1,255,17
2020-05-06 00:00:00 +0000 UTC,1,255,15
2020-05-07 00:00:00 +0000 UTC,1,255,17
2020-05-08 00:00:00 +0000 UTC,1,255,29
2020-05-09 00:00:00 +0000 UTC,1,255,15
2020-05-10 00:00:00 +0000 UTC,1,255,13
2020-05-11 00:00:00 +0000 UTC,1,255,64
2020-05-12 00:00:00 +0000 UTC,1,255,57
2020-05-13 00:00:00 +0000 UTC,1,255,57
2020-05-14 00:00:00 +0000 UTC,1,255,57
2020-05-15 00:00:00 +0000 UTC,1,255,67
2020-05-16 00:00:00 +0000 UTC,1,255,47
2020-05-17 00:00:00 +0000 UTC,1,255,34
2020-05-18 00:00:00 +0000 UTC,1,255,8
2020-05-19 00:00:00 +0000 UTC,1,255,9
2020-05-20 00:00:00 +0000 UTC,1,255,30
2020-05-21 00:00:00 +0000 UTC,1,255,30
2020-05-22 00:00:00 +0000 UTC,6,255,30
2020-05-23 00:00:00 +0000 UTC,1,255,9
2020-05-24 00:00:00 +0000 UTC,1,255,4
2020-05-25 00:00:00 +0000 UTC,1,255,5
2020-05-26 00:00:00 +0000 UTC,1,11,4
2020-05-27 00:00:00 +0000 UTC,1,255,29
2020-05-28 00:00:00 +0000 UTC,6,255,30
2020-05-29 00:00:00 +0000 UTC,2,255,37
2020-05-30 00:00:00 +0000 UTC,1,11,6
2020-05-31 00:00:00 +0000 UTC,1,255,5
2020-06-01 00:00:00 +0000 UTC,1,255,52
2020-06-02 00:00:00 +0000 UTC,1,255,45
2020-06-03 00:00:00 +0000 UTC,1,255,28
2020-06-04 00:00:00 +0000 UTC,1,255,26
2020-06-05 00:00:00 +0000 UTC,2,255,37
2020-06-06 00:00:00 +0000 UTC,1,31,14
2020-06-07 00:00:00 +0000 UTC,1,24,11
2020-06-08 00:00:00 +0000 UTC,1,255,51
2020-06-09 00:00:00 +0000 UTC,4,255,39
2020-06-10 00:00:00 +0000 UTC,4,255,31
2020-06-11 00:00:00 +0000 UTC,4,255,30
2020-06-12 00:00:00 +0000 UTC,6,255,34
2020-06-13 00:00:00 +0000 UTC,4,255,25
2020-06-14 00:00:00 +0000 UTC,1,255,22
2020-06-15 00:00:00 +0000 UTC,8,255,29
2020-06-16 00:00:00 +0000 UTC,4,255,30
2020-06-17 00:00:00 +0000 UTC,4,255,31
2020-06-18 00:00:00 +0000 UTC,4,255,32
2020-06-19 00:00:00 +0000 UTC,2,255,38
2020-06-20 00:00:00 +0000 UTC,1,255,18
2020-06-21 00:00:00 +0000 UTC,1,255,15
2020-06-22 00:00:00 +0000 UTC,1,255,28
2020-06-23 00:00:00 +0000 UTC,2,255,28
2020-06-24 00:00:00 +0000 UTC,4,255,30
2020-06-25 00:00:00 +0000 UTC,4,255,32
2020-06-26 00:00:00 +0000 UTC,6,255,37
2020-06-27 00:00:00 +0000 UTC,2,255,17
2020-06-28 00:00:00 +0000 UTC,1,255,26
2020-06-29 00:00:00 +0000 UTC,2,255,40
2020-06-30 00:00:00 +0000 UTC,1,255,37
2020-07-01 00:00:00 +0000 UTC,2,255,33
2020-07-02 00:00:00 +0000 UTC,4,62,30
2020-07-03 00:00:00 +0000 UTC,4,60,31
2020-07-04 00:00:00 +0000 UTC,4,42,23
2020-07-05 00:00:00 +0000 UTC,2,31,14
2020-07-06 00:00:00 +0000 UTC,2,54,27
2020-07-07 00:00:00 +0000 UTC,4,60,29
2020-07-08 00:00:00 +0000 UTC,6,60,29
2020-07-09 00:00:00 +0000 UTC,4,60,29
2020-07-10 00:00:00 +0000 UTC,6,62,31
2020-07-11 00:00:00 +0000 UTC,2,44,22
2020-07-12 00:00:00 +0000 UTC,1,33,16
2020-07-13 00:00:00 +0000 UTC,4,255,31
2020-07-14 00:00:00 +0000 UTC,4,63,30
2020-07-15 00:00:00 +0000 UTC,2,27,16
2020-07-16 00:00:00 +0000 UTC,4,56,28
2020-07-17 00:00:00 +0000 UTC,4,58,29
2020-07-18 00:00:00 +0000 UTC,4,42,23
2020-07-19 00:00:00 +0000 UTC,2,27,14
2020-07-20 00:00:00 +0000 UTC,1,54,27
2020-07-21 00:00:00 +0000 UTC,6,255,36
2020-07-22 00:00:00 +0000 UTC,4,255,73
2020-07-23 00:00:00 +0000 UTC,4,255,68
2020-07-24 00:00:00 +0000 UTC,4,255,56
2020-07-25 00:00:00 +0000 UTC,4,255,49
2020-07-26 00:00:00 +0000 UTC,1,255,26
2020-07-27 00:00:00 +0000 UTC,4,54,25
2020-07-28 00:00:00 +0000 UTC,4,53,26
2020-07-29 00:00:00 +0000 UTC,2,255,29
2020-07-30 00:00:00 +0000 UTC,2,38,17
2020-07-31 00:00:00 +0000 UTC,1,26,11
2020-08-01 00:00:00 +0000 UTC,1,255,14
2020-08-02 00:00:00 +0000 UTC,1,29,12
2020-08-03 00:00:00 +0000 UTC,1,24,12
2020-08-04 00:00:00 +0000 UTC,1,44,17
2020-08-05 00:00:00 +0000 UTC,1,51,21
2020-08-06 00:00:00 +0000 UTC,2,56,24
2020-08-07 00:00:00 +0000 UTC,4,54,26
2020-08-08 00:00:00 +0000 UTC,2,42,21
2020-08-09 00:00:00 +0000 UTC,2,33,17
2020-08-10 00:00:00 +0000 UTC,4,60,29
2020-08-11 00:00:00 +0000 UTC,4,62,30
2020-08-12 00:00:00 +0000 UTC,2,63,29
2020-08-13 00:00:00 +0000 UTC,4,62,29
2020-08-14 00:00:00 +0000 UTC,4,65,31
2020-08-15 00:00:00 +0000 UTC,2,255,25
2020-08-16 00:00:00 +0000 UTC,1,31,16
2020-08-17 00:00:00 +0000 UTC,1,58,26
2020-08-18 00:00:00 +0000 UTC,2,255,32
2020-08-19 00:00:00 +0000 UTC,2,255,31
2020-08-20 00:00:00 +0000 UTC,2,58,30
2020-08-21 00:00:00 +0000 UTC,2,60,31
2020-08-22 00:00:00 +0000 UTC,2,45,24
2020-08-23 00:00:00 +0000 UTC,1,255,18
2020-08-24 00:00:00 +0000 UTC,1,255,36
2020-08-25 00:00:00 +0000 UTC,4,255,36
2020-08-26 00:00:00 +0000 UTC,2,255,33
2020-08-27 00:00:00 +0000 UTC,2,62,29
2020-08-28 00:00:00 +0000 UTC,6,65,32
2020-08-29 00:00:00 +0000 UTC,1,255,26
2020-08-30 00:00:00 +0000 UTC,1,36,17
2020-08-31 00:00:00 +0000 UTC,1,63,29
2020-09-01 00:00:00 +0000 UTC,2,63,30
2020-09-02 00:00:00 +0000 UTC,4,65,31
2020-09-03 00:00:00 +0000 UTC,2,65,31
2020-09-04 00:00:00 +0000 UTC,2,65,32
2020-09-05 00:00:00 +0000 UTC,4,255,28
2020-09-06 00:00:00 +0000 UTC,1,36,18
2020-09-07 00:00:00 +0000 UTC,1,62,28
2020-09-08 00:00:00 +0000 UTC,2,63,30
2020-09-09 00:00:00 +0000 UTC,2,255,35
2020-09-10 00:00:00 +0000 UTC,4,255,105
2020-09-11 00:00:00 +0000 UTC,4,63,24
2020-09-12 00:00:00 +0000 UTC,2,49,26
2020-09-13 00:00:00 +0000 UTC,1,36,18
2020-09-14 00:00:00 +0000 UTC,2,60,29
2020-09-15 00:00:00 +0000 UTC,4,62,32
2020-09-16 00:00:00 +0000 UTC,2,60,28
2020-09-17 00:00:00 +0000 UTC,4,65,34
2020-09-18 00:00:00 +0000 UTC,4,65,32
2020-09-19 00:00:00 +0000 UTC,6,51,28
2020-09-20 00:00:00 +0000 UTC,2,54,19
2020-09-21 00:00:00 +0000 UTC,1,63,33
2020-09-22 00:00:00 +0000 UTC,4,62,30
2020-09-23 00:00:00 +0000 UTC,2,63,29
2020-09-24 00:00:00 +0000 UTC,2,65,32
2020-09-25 00:00:00 +0000 UTC,2,255,40
2020-09-26 00:00:00 +0000 UTC,2,54,28
2020-09-27 00:00:00 +0000 UTC,2,255,27
2020-09-28 00:00:00 +0000 UTC,1,65,29
2020-09-29 00:00:00 +0000 UTC,2,65,32
2020-09-30 00:00:00 +0000 UTC,1,65,31
2020-10-01 00:00:00 +0000 UTC,2,255,33
2020-10-02 00:00:00 +0000 UTC,2,69,33
2020-10-03 00:00:00 +0000 UTC,2,56,28
2020-10-04 00:00:00 +0000 UTC,1,44,21
2020-10-05 00:00:00 +0000 UTC,1,69,29
2020-10-06 00:00:00 +0000 UTC,2,67,31
2020-10-07 00:00:00 +0000 UTC,2,71,33
2020-10-08 00:00:00 +0000 UTC,4,67,31
2020-10-09 00:00:00 +0000 UTC,6,85,34
2020-10-10 00:00:00 +0000 UTC,2,60,29
2020-10-11 00:00:00 +0000 UTC,1,47,22
2020-10-12 00:00:00 +0000 UTC,1,63,29
2020-10-13 00:00:00 +0000 UTC,2,83,34
2020-10-14 00:00:00 +0000 UTC,4,67,31
2020-10-15 00:00:00 +0000 UTC,4,71,33
2020-10-16 00:00:00 +0000 UTC,4,255,34
2020-10-17 00:00:00 +0000 UTC,2,67,30
2020-10-18 00:00:00 +0000 UTC,1,45,19
2020-10-19 00:00:00 +0000 UTC,4,67,30
2020-10-20 00:00:00 +0000 UTC,2,255,33
2020-10-21 00:00:00 +0000 UTC,9,255,34
2020-10-22 00:00:00 +0000 UTC,2,255,31
2020-10-23 00:00:00 +0000 UTC,2,255,45
2020-10-24 00:00:00 +0000 UTC,2,255,47
2020-10-25 00:00:00 +0000 UTC,2,255,46
2020-10-26 00:00:00 +0000 UTC,1,255,51
2020-10-27 00:00:00 +0000 UTC,2,255,46
2020-10-28 00:00:00 +0000 UTC,2,255,31
2020-10-29 00:00:00 +0000 UTC,2,27,16
2020-10-30 00:00:00 +0000 UTC,1,71,29
2020-10-31 00:00:00 +0000 UTC,2,40,20
2020-11-01 00:00:00 +0000 UTC,1,35,16
2020-11-02 00:00:00 +0000 UTC,1,65,27
2020-11-03 00:00:00 +0000 UTC,1,65,29
2020-11-04 00:00:00 +0000 UTC,4,72,34
2020-11-05 00:00:00 +0000 UTC,6,63,36
2020-11-06 00:00:00 +0000 UTC,15,51,29
2020-11-07 00:00:00 +0000 UTC,4,58,27
2020-11-08 00:00:00 +0000 UTC,2,65,17
2020-11-09 00:00:00 +0000 UTC,1,63,25
2020-11-10 00:00:00 +0000 UTC,4,255,30
2020-11-11 00:00:00 +0000 UTC,4,255,96
2020-11-12 00:00:00 +0000 UTC,2,60,27
2020-11-13 00:00:00 +0000 UTC,2,62,28
2020-11-14 00:00:00 +0000 UTC,1,60,27
2020-11-15 00:00:00 +0000 UTC,1,31,13
2020-11-16 00:00:00 +0000 UTC,1,65,25
2020-11-17 00:00:00 +0000 UTC,4,67,29
2020-11-18 00:00:00 +0000 UTC,2,69,30
2020-11-19 00:00:00 +0000 UTC,4,62,26
2020-11-20 00:00:00 +0000 UTC,4,71,29
2020-11-21 00:00:00 +0000 UTC,4,51,23
2020-11-22 00:00:00 +0000 UTC,1,29,14
2020-11-23 00:00:00 +0000 UTC,4,58,27
2020-11-24 00:00:00 +0000 UTC,1,56,25
2020-11-25 00:00:00 +0000 UTC,4,58,27
2020-11-26 00:00:00 +0000 UTC,4,60,25
2020-11-27 00:00:00 +0000 UTC,2,255,27
2020-11-28 00:00:00 +0000 UTC,1,49,20
2020-11-29 00:00:00 +0000 UTC,1,31,11
2020-11-30 00:00:00 +0000 UTC,4,65,27
2020-12-01 00:00:00 +0000 UTC,6,255,31
2020-12-02 00:00:00 +0000 UTC,8,62,27
2020-12-03 00:00:00 +0000 UTC,4,255,30
2020-12-04 00:00:00 +0000 UTC,4,83,37
2020-12-05 00:00:00 +0000 UTC,2,18,8
2020-12-06 00:00:00 +0000 UTC,1,15,6
2020-12-07 00:00:00 +0000 UTC,2,71,33
2020-12-08 00:00:00 +0000 UTC,6,67,32
2020-12-09 00:00:00 +0000 UTC,6,65,30
2020-12-10 00:00:00 +0000 UTC,6,67,30
2020-12-11 00:00:00 +0000 UTC,6,74,36
2020-12-12 00:00:00 +0000 UTC,2,20,10
2020-12-13 00:00:00 +0000 UTC,1,15,7
2020-12-14 00:00:00 +0000 UTC,8,72,38
2020-12-15 00:00:00 +0000 UTC,11,72,40
2020-12-16 00:00:00 +0000 UTC,6,255,39
2020-12-17 00:00:00 +0000 UTC,6,65,32
2020-12-18 00:00:00 +0000 UTC,4,72,33
2020-12-19 00:00:00 +0000 UTC,1,15,5
2020-12-20 00:00:00 +0000 UTC,1,15,4
2020-12-21 00:00:00 +0000 UTC,4,255,36
2020-12-22 00:00:00 +0000 UTC,4,69,33
2020-12-23 00:00:00 +0000 UTC,4,255,31
2020-12-24 00:00:00 +0000 UTC,4,78,33
2020-12-25 00:00:00 +0000 UTC,2,72,33
2020-12-26 00:00:00 +0000 UTC,2,15,7
2020-12-27 00:00:00 +0000 UTC,1,13,4
2020-12-28 00:00:00 +0000 UTC,2,71,36
2020-12-29 00:00:00 +0000 UTC,6,71,35
2020-12-30 00:00:00 +0000 UTC,4,71,35
2020-12-31 00:00:00 +0000 UTC,1,62,27
2021-01-01 00:00:00 +0000 UTC,1,18,6
2021-01-02 00:00:00 +0000 UTC,1,18,4
2021-01-03 00:00:00 +0000 UTC,1,13,3
2021-01-04 00:00:00 +0000 UTC,1,65,31
2021-01-05 00:00:00 +0000 UTC,4,62,31
2021-01-06 00:00:00 +0000 UTC,2,63,29
2021-01-07 00:00:00 +0000 UTC,4,65,31
2021-01-08 00:00:00 +0000 UTC,6,72,34
2021-01-09 00:00:00 +0000 UTC,4,18,12
2021-01-10 00:00:00 +0000 UTC,4,22,11
2021-01-11 00:00:00 +0000 UTC,2,67,33
2021-01-12 00:00:00 +0000 UTC,4,255,38
2021-01-13 00:00:00 +0000 UTC,4,63,35
2021-01-14 00:00:00 +0000 UTC,6,65,33
2021-01-15 00:00:00 +0000 UTC,6,63,35
2021-01-16 00:00:00 +0000 UTC,4,29,14
2021-01-17 00:00:00 +0000 UTC,6,31,17
2021-01-18 00:00:00 +0000 UTC,11,85,35
2021-01-19 00:00:00 +0000 UTC,11,60,35
2021-01-20 00:00:00 +0000 UTC,6,67,36
2021-01-21 00:00:00 +0000 UTC,6,67,35
2021-01-22 00:00:00 +0000 UTC,6,255,60
2021-01-23 00:00:00 +0000 UTC,1,255,41
2021-01-24 00:00:00 +0000 UTC,1,11,5
2021-01-25 00:00:00 +0000 UTC,4,80,44
2021-01-26 00:00:00 +0000 UTC,6,78,40
2021-01-27 00:00:00 +0000 UTC,6,72,43
2021-01-28 00:00:00 +0000 UTC,4,67,36
2021-01-29 00:00:00 +0000 UTC,1,78,39
2021-01-30 00:00:00 +0000 UTC,4,20,11
2021-01-31 00:00:00 +0000 UTC,1,15,4
2021-02-01 00:00:00 +0000 UTC,4,72,37
2021-02-02 00:00:00 +0000 UTC,4,67,37
2021-02-03 00:00:00 +0000 UTC,4,255,44
2021-02-04 00:00:00 +0000 UTC,6,255,39
2021-02-05 00:00:00 +0000 UTC,4,78,41
2021-02-06 00:00:00 +0000 UTC,1,255,7
2021-02-07 00:00:00 +0000 UTC,1,255,8
2021-02-08 00:00:00 +0000 UTC,2,255,47
2021-02-09 00:00:00 +0000 UTC,6,65,37
2021-02-10 00:00:00 +0000 UTC,4,71,38
2021-02-11 00:00:00 +0000 UTC,4,72,37
2021-02-12 00:00:00 +0000 UTC,2,69,40
2021-02-13 00:00:00 +0000 UTC,1,255,8
2021-02-14 00:00:00 +0000 UTC,13,38,23
2021-02-15 00:00:00 +0000 UTC,17,53,35
2021-02-16 00:00:00 +0000 UTC,15,255,32
2021-02-17 00:00:00 +0000 UTC,9,255,31
2021-02-18 00:00:00 +0000 UTC,8,63,36
2021-02-19 00:00:00 +0000 UTC,2,65,32
2021-02-20 00:00:00 +0000 UTC,1,15,5
2021-02-21 00:00:00 +0000 UTC,1,255,9
2021-02-22 00:00:00 +0000 UTC,6,72,39
2021-02-23 00:00:00 +0000 UTC,4,72,37
2021-02-24 00:00:00 +0000 UTC,4,69,36
2021-02-25 00:00:00 +0000 UTC,6,255,49
2021-02-26 00:00:00 +0000 UTC,6,255,55
2021-02-27 00:00:00 +0000 UTC,2,255,31
2021-02-28 00:00:00 +0000 UTC,1,255,29
2021-03-01 00:00:00 +0000 UTC,4,255,56
2021-03-02 00:00:00 +0000 UTC,9,255,57
2021-03-03 00:00:00 +0000 UTC,4,255,44
2021-03-04 00:00:00 +0000 UTC,4,255,53
2021-03-05 00:00:00 +0000 UTC,4,255,51
2021-03-06 00:00:00 +0000 UTC,2,255,48
2021-03-07 00:00:00 +0000 UTC,1,255,24
2021-03-08 00:00:00 +0000 UTC,4,255,42
2021-03-09 00:00:00 +0000 UTC,4,65,34
2021-03-10 00:00:00 +0000 UTC,6,63,33
2021-03-11 00:00:00 +0000 UTC,6,74,37
2021-03-12 00:00:00 +0000 UTC,4,63,32
2021-03-13 00:00:00 +0000 UTC,2,72,32
2021-03-14 00:00:00 +0000 UTC,1,11,3
2021-03-15 00:00:00 +0000 UTC,2,63,34
2021-03-16 00:00:00 +0000 UTC,8,65,37
2021-03-17 00:00:00 +0000 UTC,8,76,37
2021-03-18 00:00:00 +0000 UTC,4,58,32
2021-03-19 00:00:00 +0000 UTC,4,76,37
2021-03-20 00:00:00 +0000 UTC,4,65,33
2021-03-21 00:00:00 +0000 UTC,2,18,9
2021-03-22 00:00:00 +0000 UTC,4,76,35
2021-03-23 00:00:00 +0000 UTC,4,65,37
2021-03-24 00:00:00 +0000 UTC,2,255,32
2021-03-25 00:00:00 +0000 UTC,2,67,31
2021-03-26 00:00:00 +0000 UTC,2,60,29
2021-03-27 00:00:00 +0000 UTC,2,255,32
2021-03-28 00:00:00 +0000 UTC,1,255,5
2021-03-29 00:00:00 +0000 UTC,2,63,31
2021-03-30 00:00:00 +0000 UTC,4,255,36
2021-03-31 00:00:00 +0000 UTC,4,58,31
2021-04-01 00:00:00 +0000 UTC,2,255,37
2021-04-02 00:00:00 +0000 UTC,4,74,38
2021-04-03 00:00:00 +0000 UTC,1,255,9
2021-04-04 00:00:00 +0000 UTC,1,255,5
2021-04-05 00:00:00 +0000 UTC,4,255,39
2021-04-06 00:00:00 +0000 UTC,2,255,33
2021-04-07 00:00:00 +0000 UTC,1,67,33
2021-04-08 00:00:00 +0000 UTC,2,72,42
2021-04-09 00:00:00 +0000 UTC,1,72,38
2021-04-10 00:00:00 +0000 UTC,1,9,5
2021-04-11 00:00:00 +0000 UTC,1,11,2
2021-04-12 00:00:00 +0000 UTC,1,74,36
2021-04-13 00:00:00 +0000 UTC,2,56,26
2021-04-14 00:00:00 +0000 UTC,1,58,25
2021-04-15 00:00:00 +0000 UTC,2,63,25
2021-04-16 00:00:00 +0000 UTC,2,63,26
2021-04-17 00:00:00 +0000 UTC,1,18,7
2021-04-18 00:00:00 +0000 UTC,1,11,3
2021-04-19 00:00:00 +0000 UTC,2,74,30
2021-04-20 00:00:00 +0000 UTC,1,255,50
2021-04-21 00:00:00 +0000 UTC,1,255,52
2021-04-22 00:00:00 +0000 UTC,2,80,34
2021-04-23 00:00:00 +0000 UTC,1,11,6
2021-04-24 00:00:00 +0000 UTC,1,13,6
2021-04-25 00:00:00 +0000 UTC,1,15,5
2021-04-26 00:00:00 +0000 UTC,1,72,29
2021-04-27 00:00:00 +0000 UTC,1,74,33
2021-04-28 00:00:00 +0000 UTC,1,81,38
2021-04-29 00:00:00 +0000 UTC,1,255,35
2021-04-30 00:00:00 +0000 UTC,1,26,12
2021-05-01 00:00:00 +0000 UTC,1,13,5
2021-05-02 00:00:00 +0000 UTC,1,9,3
2021-05-03 00:00:00 +0000 UTC,1,24,12
2021-05-04 00:00:00 +0000 UTC,1,24,12
2021-05-05 00:00:00 +0000 UTC,1,255,13
2021-05-06 00:00:00 +0000 UTC,1,255,13
2021-05-07 00:00:00 +0000 UTC,1,26,12
2021-05-08 00:00:00 +0000 UTC,1,18,7
2021-05-09 00:00:00 +0000 UTC,1,255,5
2021-05-10 00:00:00 +0000 UTC,1,255,13
2021-05-11 00:00:00 +0000 UTC,1,255,11
2021-05-12 00:00:00 +0000 UTC,1,255,6
2021-05-13 00:00:00 +0000 UTC,1,255,3
2021-05-14 00:00:00 +0000 UTC,1,255,144
2021-05-15 00:00:00 +0000 UTC,1,255,4
2021-05-16 00:00:00 +0000 UTC,1,255,8
2021-05-17 00:00:00 +0000 UTC,1,255,41
2021-05-18 00:00:00 +0000 UTC,2,255,42
2021-05-19 00:00:00 +0000 UTC,1,60,26
2021-05-20 00:00:00 +0000 UTC,1,255,40
2021-05-21 00:00:00 +0000 UTC,2,255,42
2021-05-22 00:00:00 +0000 UTC,1,255,8
2021-05-23 00:00:00 +0000 UTC,1,6,2
2021-05-24 00:00:00 +0000 UTC,1,255,53
2021-05-25 00:00:00 +0000 UTC,1,67,35
2021-05-26 00:00:00 +0000 UTC,4,67,35
2021-05-27 00:00:00 +0000 UTC,4,71,34
2021-05-28 00:00:00 +0000 UTC,1,255,37
2021-05-29 00:00:00 +0000 UTC,1,20,9
2021-05-30 00:00:00 +0000 UTC,1,6,2
2021-05-31 00:00:00 +0000 UTC,1,255,41
2021-06-01 00:00:00 +0000 UTC,2,255,36
2021-06-02 00:00:00 +0000 UTC,2,255,60
2021-06-03 00:00:00 +0000 UTC,4,255,75
2021-06-04 00:00:00 +0000 UTC,1,255,70
2021-06-05 00:00:00 +0000 UTC,1,255,72
2021-06-06 00:00:00 +0000 UTC,1,255,52
2021-06-07 00:00:00 +0000 UTC,1,255,64
2021-06-08 00:00:00 +0000 UTC,2,255,68
2021-06-09 00:00:00 +0000 UTC,2,255,64
2021-06-10 00:00:00 +0000 UTC,1,255,61
2021-06-11 00:00:00 +0000 UTC,2,255,50
2021-06-12 00:00:00 +0000 UTC,1,255,39
2021-06-13 00:00:00 +0000 UTC,1,15,4
2021-06-14 00:00:00 +0000 UTC,1,255,67
2021-06-15 00:00:00 +0000 UTC,4,255,95
2021-06-16 00:00:00 +0000 UTC,2,255,37
2021-06-17 00:00:00 +0000 UTC,1,60,32
2021-06-18 00:00:00 +0000 UTC,1,78,36
2021-06-19 00:00:00 +0000 UTC,1,74,39
2021-06-20 00:00:00 +0000 UTC,1,255,4
2021-06-21 00:00:00 +0000 UTC,1,62,32
2021-06-22 00:00:00 +0000 UTC,1,255,35
2021-06-23 00:00:00 +0000 UTC,1,67,33
2021-06-24 00:00:00 +0000 UTC,1,255,33
2021-06-25 00:00:00 +0000 UTC,1,63,33
2021-06-26 00:00:00 +0000 UTC,1,255,35
2021-06-27 00:00:00 +0000 UTC,1,15,4
2021-06-28 00:00:00 +0000 UTC,1,255,58
2021-06-29 00:00:00 +0000 UTC,1,255,70
